Age,Gender,Height,Weight,Activity Level,Fitness Goal,Dietary Preference,Daily Calorie Target,Protein,Carbohydrates,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2000,120,250,60,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Salmon, roasted vegetables","Greek yogurt, fruit"
32,Female,165,65,Lightly Active,Weight Loss,Vegetarian,1600,80,200,40,"Tofu scramble, veggies","Lentil soup, whole wheat bread","Vegetable stir-fry, brown rice","Apple, almond butter"
48,Male,175,95,Sedentary,Maintenance,Vegan,2200,100,300,65,"Tofu, veggie breakfast burrito","Black bean burger, a whole wheat bun","Lentil, vegetable curry",Trail mix
55,Female,160,70,Very Active,Weight Loss,Omnivore,2500,140,350,80,"Greek yogurt, granola, fruit","Chicken, vegetable stir-fry","Turkey chili, brown rice","Banana, peanut butter"
62,Male,170,85,Sedentary,Maintenance,Vegetarian,2000,80,250,55,"Scrambled eggs, whole wheat toast, avocado","Quinoa salad, chickpeas, vegetables","Vegetarian chili, cornbread","Fruit, nut mix"
68,Female,155,60,Lightly Active,Maintenance,Vegan,1800,70,220,45,"Tofu scramble, veggies","Lentil pasta, vegetables","Vegan stir-fry, brown rice","Hummus, veggie wrap"
28,Male,190,100,Moderately Active,Muscle Gain,Omnivore,3000,180,350,80,"Protein pancakes, fruit, nuts","Chicken breast, brown rice, vegetables","Steak, sweet potato, broccoli",Protein shake
35,Female,170,75,Very Active,Muscle Gain,Vegetarian,2400,120,300,60,"Tofu, veggie breakfast burrito","Black bean burger, a whole wheat bun","Quinoa, vegetable bowl","Cottage cheese, fruit"
42,Male,185,110,Moderately Active,Muscle Gain,Vegan,3200,160,400,85,"Tofu, chickpea scramble","Lentil burger, sweet potato fries","Vegan chili, cornbread",Energy bar
58,Female,168,78,Sedentary,Maintenance,Vegan,1900,75,230,50,"Overnight oats, fruit, chia seeds","Lentil soup, whole wheat bread","Vegan pasta, vegetables, sauce","Fruit, veggie sticks"
25,Male,180,80,Lightly Active,Weight Loss,Omnivore,2000,120,250,60,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Salmon, roasted vegetables","Greek yogurt, fruit"
32,Female,165,65,Moderately Active,Muscle Gain,Vegan,2200,100,300,70,"Tofu scramble, vegetables","Lentil soup, wholegrain bread","Chickpea, vegetable curry","Trail mix, nuts, seeds"
48,Male,175,95,Sedentary,Maintenance,Vegetarian,2400,100,350,80,"Wholegrain toast, avocado",Black bean salad,"Vegetable stir-fry, tofu","Fruit salad, yogurt"
55,Female,160,70,Moderately Active,Weight Loss,Omnivore,1800,100,200,50,"Greek yogurt, granola","Tuna salad sandwich, wholegrain bread","Chicken breast, steamed vegetables",Popcorn
62,Male,170,85,Very Active,Muscle Gain,Vegan,3000,150,400,100,"Tofu, vegetable stir-fry","Lentil, vegetable stew",Vegan chili,"Smoothie, protein powder"
28,Female,172,60,Lightly Active,Muscle Gain,Vegan,2000,100,250,60,"Tofu scramble, vegetables","Black bean burger, a wholegrain bun","Lentil pasta, vegetables","Trail mix, nuts, seeds"
35,Male,185,90,Very Active,Weight Loss,Omnivore,2500,150,300,80,"Oatmeal, protein powder, fruit","Grilled chicken breast, brown rice","Salmon, roasted vegetables","Fruit, nuts"
40,Female,168,75,Moderately Active,Maintenance,Vegetarian,2200,100,300,70,"Wholegrain toast, avocado","Lentil soup, wholegrain bread","Vegetable stir-fry, tofu","Fruit salad, yogurt"
22,Male,190,100,Lightly Active,Muscle Gain,Omnivore,2800,160,350,90,"Eggs, wholegrain toast","Chicken breast, brown rice","Steak, roasted vegetables",Protein bar
58,Female,155,68,Sedentary,Weight Loss,Vegan,1600,80,180,40,"Tofu scramble, vegetables","Lentil soup, wholegrain bread",Vegan chili,"Fruit, nut mix"
24,Female,165,55,Lightly Active,Weight Loss,Omnivore,1800,100,250,50,"Greek yogurt, berries, granola","Salmon salad, mixed greens, avocado","Chicken stir-fry, brown rice","Apple, peanut butter"
38,Male,180,80,Moderately Active,Muscle Gain,Omnivore,2800,160,350,80,"Oatmeal, protein powder, fruit","Chicken breast, sweet potato, broccoli","Steak, roasted vegetables",Protein shake
55,Female,160,70,Sedentary,Weight Loss,Vegetarian,1600,80,200,40,"Tofu scramble, vegetables","Lentil soup, whole wheat bread","Vegetarian chili, brown rice","Trail mix, nuts, dried fruit"
62,Male,175,95,Moderately Active,Weight Loss,Omnivore,2200,120,280,60,"Eggs, whole wheat toast, avocado","Turkey sandwich, whole wheat bread, vegetables","Chicken, vegetable stir-fry, brown rice","Greek yogurt, fruit, granola"
28,Female,170,65,Very Active,Muscle Gain,Vegan,2400,140,320,70,"Tofu scramble, vegetables, avocado","Vegan lentil stew, whole wheat bread","Tofu stir-fry, brown rice, vegetables","Banana, almond butter"
45,Male,185,100,Lightly Active,Weight Loss,Omnivore,2000,110,250,50,"Greek yogurt, fruit, granola","Tuna salad, whole wheat bread","Chicken breast, sweet potato, green beans","Mixed nuts, seeds"
68,Female,155,60,Sedentary,Maintenance,Vegan,1400,70,180,35,"Tofu scramble, vegetables","Lentil soup, whole wheat bread","Vegan pasta, vegetables, tomato sauce","Apple, peanut butter"
32,Male,190,90,Very Active,Muscle Gain,Omnivore,3000,180,400,90,"Oatmeal, protein powder, fruit","Chicken breast, sweet potato, broccoli","Steak, roasted vegetables",Protein shake
58,Male,170,85,Moderately Active,Weight Loss,Vegetarian,1900,100,240,50,"Eggs, whole wheat toast, avocado","Lentil soup, whole wheat bread","Vegetarian chili, brown rice","Trail mix, nuts, dried fruit"
22,Female,160,50,Lightly Active,Weight Loss,Vegan,1500,80,200,40,"Tofu scramble, vegetables","Vegan lentil stew, whole wheat bread","Tofu stir-fry, brown rice, vegetables","Banana, almond butter"
25,Female,165,60,Lightly Active,Weight Loss,Omnivore,1800,80,200,60,"Greek yogurt, berries, granola","Lentil soup, whole wheat bread","Salmon, roasted vegetables","Apple slices, peanut butter"
38,Male,180,85,Moderately Active,Muscle Gain,Vegetarian,2800,150,250,80,"Tofu scramble, spinach, avocado","Quinoa salad, chickpeas, vegetables","Black bean burgers, sweet potato fries","Mixed nuts, seeds"
55,Female,160,65,Sedentary,Maintenance,Vegan,1600,65,180,50,"Overnight oats, fruit, chia seeds","Lentil, vegetable curry, brown rice","Tofu stir-fry, brown rice noodles",Fruit smoothie
42,Male,190,95,Very Active,Muscle Gain,Omnivore,3200,200,300,100,"Scrambled eggs, whole wheat toast, fruit","Chicken breast, brown rice, vegetables","Steak, sweet potato, asparagus",Protein shake
62,Female,155,58,Sedentary,Weight Loss,Vegan,1400,55,150,40,"Oatmeal, berries, plant-based milk","Lentil soup, whole wheat bread","Vegetable stir-fry, tofu, brown rice","Apple slices, almond butter"
28,Male,175,70,Moderately Active,Muscle Gain,Omnivore,2500,130,220,70,"Greek yogurt, fruit, granola","Tuna salad sandwich, whole wheat bread","Chicken breast, brown rice, vegetables",Trail mix
31,Female,170,75,Lightly Active,Weight Loss,Vegetarian,1700,70,190,50,"Scrambled eggs, whole wheat toast, avocado","Vegetarian chili, whole wheat bread","Black bean burgers, salad","Apple slices, almond butter"
58,Male,185,90,Moderately Active,Maintenance,Omnivore,2400,100,240,70,"Oatmeal, fruit, nuts","Chicken salad sandwich, whole wheat bread","Salmon, roasted vegetables","Fruit, cheese"
22,Female,168,55,Very Active,Muscle Gain,Vegan,2200,110,200,60,"Overnight oats, fruit, chia seeds","Tofu scramble, spinach, avocado","Lentil, vegetable curry, brown rice",Protein shake
45,Male,182,80,Lightly Active,Weight Loss,Omnivore,2000,90,220,60,"Greek yogurt, fruit, granola","Chicken breast salad, vegetables","Turkey chili, brown rice","Fruit, yogurt"
25,Male,180,80,Moderately Active,Weight Loss,Omnivore,2200,120,250,60,"Oatmeal, berries, nuts","Grilled chicken salad, mixed greens","Salmon, roasted vegetables","Greek yogurt, fruit"
32,Female,165,65,Lightly Active,Muscle Gain,Vegetarian,2000,100,200,60,"Tofu scramble, whole-wheat toast","Lentil soup, whole-wheat bread","Vegetable stir-fry, brown rice","Trail mix, nuts, dried fruit"
55,Male,175,90,Sedentary,Maintenance,Vegan,2000,80,250,50,"Tofu, vegetable breakfast burrito","Black bean burger, a whole-wheat bun","Lentil pasta, marinara sauce","Fruit salad, nuts"
68,Female,160,75,Lightly Active,Weight Loss,Omnivore,1800,80,180,50,"Greek yogurt, granola","Chicken breast salad, mixed greens","Turkey meatballs, steamed vegetables",Popcorn
28,Male,185,95,Very Active,Muscle Gain,Omnivore,3000,160,350,80,"Scrambled eggs, avocado, whole-wheat toast","Chicken breast, brown rice, vegetables","Steak, sweet potato fries","Protein shake, banana"
38,Female,170,70,Moderately Active,Weight Loss,Vegan,1800,80,200,50,"Overnight oats, chia seeds, fruit","Tofu, vegetable stir-fry, brown rice","Lentil soup, whole-wheat bread","Fruit salad, nuts"
62,Male,170,85,Sedentary,Maintenance,Omnivore,2200,80,270,60,"Pancakes, fruit, syrup","Grilled chicken sandwich, whole-wheat bread","Chicken stir-fry, brown rice",Popcorn
45,Female,168,60,Very Active,Muscle Gain,Vegetarian,2400,120,280,70,"Tofu scramble, whole-wheat toast","Black bean burger, a whole-wheat bun","Chickpea curry, brown rice","Energy bar, nuts, seeds"
22,Female,172,55,Moderately Active,Weight Loss,Vegan,1800,80,200,50,"Overnight oats, chia seeds, fruit","Tofu, vegetable stir-fry, brown rice","Lentil stew, whole-wheat bread","Trail mix, nuts, dried fruit"
58,Male,178,98,Sedentary,Maintenance,Omnivore,2000,80,250,50,"Scrambled eggs, whole-wheat toast","Tuna salad sandwich, whole-wheat bread","Chicken breast, roasted vegetables","Fruit salad, nuts"
25,Male,180,85,Lightly Active,Weight Loss,Omnivore,2000,120,250,65,"Greek yogurt, berries, granola","Chicken breast salad, mixed greens","Salmon, roasted vegetables","Apple, peanut butter"
32,Female,165,60,Moderately Active,Muscle Gain,Vegetarian,2200,100,300,70,"Tofu scramble, whole-wheat toast","Lentil soup, whole-wheat bread","Tofu stir-fry, brown rice","Trail mix, nuts, dried fruit"
48,Male,175,95,Very Active,Maintenance,Omnivore,2800,150,350,90,"Oatmeal, fruit, nuts","Chicken, vegetable stir-fry","Beef stew, brown rice",Protein bar
55,Female,160,70,Sedentary,Weight Loss,Vegan,1600,80,200,50,"Tofu scramble, spinach, avocado toast","Lentil soup, whole-wheat bread","Vegan chili, brown rice","Fruit salad, nuts"
28,Male,185,90,Moderately Active,Muscle Gain,Vegan,2600,130,350,80,"Tofu, veggie breakfast burrito","Lentil, quinoa salad","Vegan pasta, marinara sauce","Smoothie, protein powder, fruit"
